nombre;nac;mano;posicion;ranking;puntos;categoria
Mario Fuentes;ESP;DERECHA;DRIVE;137;4453;MASCULINO
Sergio Cruz;ESP;DERECHA;REVES;138;4400;MASCULINO
Angel Castro;ESP;DERECHA;DRIVE;139;4347;MASCULINO
Daniel Navarro;ESP;ZURDO;REVES;140;4295;MASCULINO
Oscar Fernandez;ESP;DERECHA;DRIVE;141;4243;MASCULINO
Victor Flores;ESP;DERECHA;REVES;142;4192;MASCULINO
Angel Garcia;ESP;DERECHA;DRIVE;143;4142;MASCULINO
Pablo Gonzalez;ESP;DERECHA;REVES;144;4092;MASCULINO
Rafael Perez;ESP;DERECHA;DRIVE;145;4043;MASCULINO
Angel Herrera;ESP;DERECHA;REVES;146;3995;MASCULINO
Luis Fernandez;ESP;ZURDO;DRIVE;147;3947;MASCULINO
Rafael Vega;ESP;DERECHA;REVES;148;3899;MASCULINO
Daniel Garcia;ESP;DERECHA;DRIVE;149;3853;MASCULINO
Ivan Torres;ESP;DERECHA;REVES;150;3806;MASCULINO
Angel Rubio;ESP;DERECHA;DRIVE;151;3761;MASCULINO
Angel Jimenez;ESP;DERECHA;REVES;152;3716;MASCULINO
Roberto Herrera;ESP;DERECHA;DRIVE;153;3671;MASCULINO
Rafael Ramirez;ESP;ZURDO;REVES;154;3627;MASCULINO
Rafael Molina;ESP;DERECHA;DRIVE;155;3583;MASCULINO
Miguel Garcia;ESP;DERECHA;REVES;156;3540;MASCULINO
Roberto Ramos;ESP;DERECHA;DRIVE;157;3498;MASCULINO
Ruben Perez;ESP;DERECHA;REVES;158;3456;MASCULINO
Angel Reyes;ESP;DERECHA;DRIVE;159;3414;MASCULINO
Javier Ramos;ESP;DERECHA;REVES;160;3374;MASCULINO
Miguel Torres;ESP;ZURDO;DRIVE;161;3333;MASCULINO
David Garcia;ESP;DERECHA;REVES;162;3293;MASCULINO
Antonio Ramos;ESP;DERECHA;DRIVE;163;3254;MASCULINO
Daniel Fuentes;ESP;DERECHA;REVES;164;3214;MASCULINO
Victor Garcia;ESP;DERECHA;DRIVE;165;3176;MASCULINO
Miguel Ramos;ESP;DERECHA;REVES;166;3138;MASCULINO
Javier Reyes;ESP;DERECHA;DRIVE;167;3100;MASCULINO
Rafael Fernandez;ESP;ZURDO;REVES;168;3063;MASCULINO
Carlos Gonzalez;ESP;DERECHA;DRIVE;169;3026;MASCULINO
Adrian Fuentes;ESP;DERECHA;REVES;170;2990;MASCULINO
David Navarro;ESP;DERECHA;DRIVE;171;2954;MASCULINO
Javier Medina;ESP;DERECHA;REVES;172;2919;MASCULINO
Sergio Fuentes;ESP;DERECHA;DRIVE;173;2884;MASCULINO
Pablo Lopez;ESP;DERECHA;REVES;174;2849;MASCULINO
Antonio Guerrero;ESP;ZURDO;DRIVE;175;2815;MASCULINO
Mario Vega;ESP;DERECHA;REVES;176;2781;MASCULINO
Victor Medina;ESP;DERECHA;DRIVE;177;2748;MASCULINO
Victor Serrano;ESP;DERECHA;REVES;178;2715;MASCULINO
David Diaz;ESP;DERECHA;DRIVE;179;2682;MASCULINO
Daniel Serrano;ESP;DERECHA;REVES;180;2650;MASCULINO
Facundo Ibarra;ARG;DERECHA;DRIVE;181;2618;MASCULINO
Franco Acosta;ARG;ZURDO;REVES;182;2587;MASCULINO
Ignacio Leiva;ARG;DERECHA;DRIVE;183;2556;MASCULINO
Gustavo Acosta;ARG;DERECHA;REVES;184;2525;MASCULINO
Nicolas Rios;ARG;DERECHA;DRIVE;185;2495;MASCULINO
Marcos Sosa;ARG;DERECHA;REVES;186;2465;MASCULINO
Franco Benitez;ARG;DERECHA;DRIVE;187;2435;MASCULINO
Franco Gimenez;ARG;DERECHA;REVES;188;2406;MASCULINO
Sebastian Romero;ARG;ZURDO;DRIVE;189;2377;MASCULINO
Leandro Ibarra;ARG;DERECHA;REVES;190;2348;MASCULINO
Matias Gimenez;ARG;DERECHA;DRIVE;191;2320;MASCULINO
Sebastian Farias;ARG;DERECHA;REVES;192;2292;MASCULINO
Facundo Benitez;ARG;DERECHA;DRIVE;193;2265;MASCULINO
Marcos Molina;ARG;DERECHA;REVES;194;2238;MASCULINO
Leandro Suarez;ARG;DERECHA;DRIVE;195;2211;MASCULINO
Marcos Herrera;ARG;ZURDO;REVES;196;2184;MASCULINO
Franco Leiva;ARG;DERECHA;DRIVE;197;2158;MASCULINO
Nicolas Benitez;ARG;DERECHA;REVES;198;2132;MASCULINO
Bruno Paz;ARG;DERECHA;DRIVE;199;2107;MASCULINO
Ezequiel Paz;ARG;DERECHA;REVES;200;2081;MASCULINO
Rodrigo Acosta;ARG;DERECHA;DRIVE;201;2056;MASCULINO
Ezequiel Vargas;ARG;DERECHA;REVES;202;2032;MASCULINO
Nicolas Gimenez;ARG;ZURDO;DRIVE;203;2007;MASCULINO
Leandro Molina;ARG;DERECHA;REVES;204;1983;MASCULINO
Matias Benitez;ARG;DERECHA;DRIVE;205;1959;MASCULINO
Maximiliano Quiroga;ARG;DERECHA;REVES;206;1936;MASCULINO
Marcos Quiroga;ARG;DERECHA;DRIVE;207;1913;MASCULINO
Franco Paz;ARG;DERECHA;REVES;208;1890;MASCULINO
Franco Pereyra;ARG;DERECHA;DRIVE;209;1867;MASCULINO
Ezequiel Leiva;ARG;ZURDO;REVES;210;1845;MASCULINO
Bruno Farias;ARG;DERECHA;DRIVE;211;1823;MASCULINO
Facundo Pereyra;ARG;DERECHA;REVES;212;1801;MASCULINO
Nicolas Romero;ARG;DERECHA;DRIVE;213;1779;MASCULINO
Agustin Nunez;ARG;DERECHA;REVES;214;1758;MASCULINO
Ignacio Gimenez;ARG;DERECHA;DRIVE;215;1737;MASCULINO
Ezequiel Nunez;ARG;DERECHA;REVES;216;1716;MASCULINO
Franco Sosa;ARG;ZURDO;DRIVE;217;1695;MASCULINO
Ezequiel Farias;ARG;DERECHA;REVES;218;1675;MASCULINO
Matias Pereyra;ARG;DERECHA;DRIVE;219;1655;MASCULINO
Ezequiel Juarez;ARG;DERECHA;REVES;220;1635;MASCULINO
Gustavo Leiva;ARG;DERECHA;DRIVE;221;1615;MASCULINO
Facundo Nunez;ARG;DERECHA;REVES;222;1596;MASCULINO
Bruno Sosa;ARG;DERECHA;DRIVE;223;1577;MASCULINO
Franco Juarez;ARG;ZURDO;REVES;224;1558;MASCULINO
Agustin Acosta;ARG;DERECHA;DRIVE;225;1539;MASCULINO
Agustin Ibarra;ARG;DERECHA;REVES;226;1521;MASCULINO
Hernan Medina;ARG;DERECHA;DRIVE;227;1502;MASCULINO
Maximiliano Farias;ARG;DERECHA;REVES;228;1484;MASCULINO
Agustin Leiva;ARG;DERECHA;DRIVE;229;1467;MASCULINO
Franco Rios;ARG;DERECHA;REVES;230;1449;MASCULINO
Maximiliano Juarez;ARG;ZURDO;DRIVE;231;1432;MASCULINO
Hernan Luna;ARG;DERECHA;REVES;232;1414;MASCULINO
Gustavo Medina;ARG;DERECHA;DRIVE;233;1397;MASCULINO
Ignacio Ibarra;ARG;DERECHA;REVES;234;1381;MASCULINO
Rodrigo Gimenez;ARG;DERECHA;DRIVE;235;1364;MASCULINO
Agustin Farias;ARG;DERECHA;REVES;236;1348;MASCULINO
Bruno Juarez;ARG;DERECHA;DRIVE;237;1332;MASCULINO
Bruno Luna;ARG;ZURDO;REVES;238;1316;MASCULINO
Sebastian Luna;ARG;DERECHA;DRIVE;239;1300;MASCULINO
Matias Acosta;ARG;DERECHA;REVES;240;1284;MASCULINO
Guilherme Moura;BRA;DERECHA;DRIVE;241;1269;MASCULINO
Bruno Cunha;BRA;DERECHA;REVES;242;1254;MASCULINO
Vinicius Nascimento;BRA;DERECHA;DRIVE;243;1239;MASCULINO
Felipe Rodrigues;BRA;DERECHA;REVES;244;1224;MASCULINO
Bruno Nascimento;BRA;ZURDO;DRIVE;245;1209;MASCULINO
Thiago Lima;BRA;DERECHA;REVES;246;1194;MASCULINO
Caio Alves;BRA;DERECHA;DRIVE;247;1180;MASCULINO
Eduardo Pereira;BRA;DERECHA;REVES;248;1166;MASCULINO
Guilherme Rodrigues;BRA;DERECHA;DRIVE;249;1152;MASCULINO
Thiago Silva;BRA;DERECHA;REVES;250;1138;MASCULINO
Caio Santos;BRA;DERECHA;DRIVE;251;1125;MASCULINO
Thiago Martins;BRA;ZURDO;REVES;252;1111;MASCULINO
Caio Souza;BRA;DERECHA;DRIVE;253;1098;MASCULINO
Lucas Lima;BRA;DERECHA;REVES;254;1085;MASCULINO
Bruno Barbosa;BRA;DERECHA;DRIVE;255;1071;MASCULINO
Eduardo Ferreira;BRA;DERECHA;REVES;256;1059;MASCULINO
Andre Costa;BRA;DERECHA;DRIVE;257;1046;MASCULINO
Thiago Nascimento;BRA;DERECHA;REVES;258;1033;MASCULINO
Vinicius Carvalho;BRA;ZURDO;DRIVE;259;1021;MASCULINO
Felipe Cardoso;BRA;DERECHA;REVES;260;1009;MASCULINO
Guilherme Ferreira;BRA;DERECHA;DRIVE;261;997;MASCULINO
Rafael Oliveira;BRA;DERECHA;REVES;262;985;MASCULINO
Bruno Ferreira;BRA;DERECHA;DRIVE;263;973;MASCULINO
Felipe Teixeira;BRA;DERECHA;REVES;264;961;MASCULINO
Lucas Santos;BRA;DERECHA;DRIVE;265;950;MASCULINO
Lucas Gomes;BRA;ZURDO;REVES;266;938;MASCULINO
Bruno Oliveira;BRA;DERECHA;DRIVE;267;927;MASCULINO
Caio Pereira;BRA;DERECHA;REVES;268;916;MASCULINO
Eduardo Teixeira;BRA;DERECHA;DRIVE;269;905;MASCULINO
Guilherme Ribeiro;BRA;DERECHA;REVES;270;894;MASCULINO
Guilherme Pereira;BRA;DERECHA;DRIVE;271;883;MASCULINO
Vinicius Martins;BRA;DERECHA;REVES;272;873;MASCULINO
Felipe Ribeiro;BRA;ZURDO;DRIVE;273;862;MASCULINO
Caio Moura;BRA;DERECHA;REVES;274;852;MASCULINO
Eduardo Cardoso;BRA;DERECHA;DRIVE;275;842;MASCULINO
Andre Pereira;BRA;DERECHA;REVES;276;832;MASCULINO
Guilherme Martins;BRA;DERECHA;DRIVE;277;822;MASCULINO
Caio Teixeira;BRA;DERECHA;REVES;278;812;MASCULINO
Thiago Barbosa;BRA;DERECHA;DRIVE;279;802;MASCULINO
Bruno Gomes;BRA;ZURDO;REVES;280;792;MASCULINO
Damien Simon;FRA;DERECHA;DRIVE;281;783;MASCULINO
Clement Bernard;FRA;DERECHA;REVES;282;773;MASCULINO
Loic Durand;FRA;DERECHA;DRIVE;283;764;MASCULINO
Baptiste Martin;FRA;DERECHA;REVES;284;755;MASCULINO
Loic Richard;FRA;DERECHA;DRIVE;285;746;MASCULINO
Loic Petit;FRA;DERECHA;REVES;286;737;MASCULINO
Baptiste Moreau;FRA;ZURDO;DRIVE;287;728;MASCULINO
Damien Martin;FRA;DERECHA;REVES;288;719;MASCULINO
Kevin Moreau;FRA;DERECHA;DRIVE;289;711;MASCULINO
Loic Moreau;FRA;DERECHA;REVES;290;702;MASCULINO
Julien Bernard;FRA;DERECHA;DRIVE;291;694;MASCULINO
Clement Thomas;FRA;DERECHA;REVES;292;685;MASCULINO
Antoine Durand;FRA;DERECHA;DRIVE;293;677;MASCULINO
Mathieu Rousseau;FRA;ZURDO;REVES;294;669;MASCULINO
Baptiste Girard;FRA;DERECHA;DRIVE;295;661;MASCULINO
Julien Bonnet;FRA;DERECHA;REVES;296;653;MASCULINO
Guillaume Roux;FRA;DERECHA;DRIVE;297;645;MASCULINO
Kevin Durand;FRA;DERECHA;REVES;298;638;MASCULINO
Antoine Dupont;FRA;DERECHA;DRIVE;299;630;MASCULINO
Guillaume Vincent;FRA;DERECHA;REVES;300;622;MASCULINO
Mathieu Simon;FRA;ZURDO;DRIVE;301;615;MASCULINO
Clement Laurent;FRA;DERECHA;REVES;302;608;MASCULINO
Baptiste Dupont;FRA;DERECHA;DRIVE;303;600;MASCULINO
Kevin Thomas;FRA;DERECHA;REVES;304;593;MASCULINO
Clement Simon;FRA;DERECHA;DRIVE;305;586;MASCULINO
Mathieu Thomas;FRA;DERECHA;REVES;306;579;MASCULINO
Julien Petit;FRA;DERECHA;DRIVE;307;572;MASCULINO
Florian Lefevre;FRA;ZURDO;REVES;308;565;MASCULINO
Mathieu Morin;FRA;DERECHA;DRIVE;309;558;MASCULINO
Loic Fontaine;FRA;DERECHA;REVES;310;552;MASCULINO
Marco Bruno;ITA;DERECHA;DRIVE;311;545;MASCULINO
Marco Marino;ITA;DERECHA;REVES;312;538;MASCULINO
Francesco Vitale;ITA;DERECHA;DRIVE;313;532;MASCULINO
Simone Romano;ITA;DERECHA;REVES;314;526;MASCULINO
Matteo Romano;ITA;ZURDO;DRIVE;315;519;MASCULINO
Alessandro Barbieri;ITA;DERECHA;REVES;316;513;MASCULINO
Marco Gallo;ITA;DERECHA;DRIVE;317;507;MASCULINO
Andrea Martini;ITA;DERECHA;REVES;318;501;MASCULINO
Simone Serra;ITA;DERECHA;DRIVE;319;495;MASCULINO
Andrea Ferrara;ITA;DERECHA;REVES;320;489;MASCULINO
Matteo Bianchi;ITA;DERECHA;DRIVE;321;483;MASCULINO
Marco Colombo;ITA;ZURDO;REVES;322;477;MASCULINO
Luca Serra;ITA;DERECHA;DRIVE;323;471;MASCULINO
Davide Conti;ITA;DERECHA;REVES;324;466;MASCULINO
Lorenzo Moretti;ITA;DERECHA;DRIVE;325;460;MASCULINO
Matteo Mancini;ITA;DERECHA;REVES;326;455;MASCULINO
Matteo Greco;ITA;DERECHA;DRIVE;327;449;MASCULINO
Davide Russo;ITA;DERECHA;REVES;328;444;MASCULINO
Marco Bianchi;ITA;ZURDO;DRIVE;329;439;MASCULINO
Marco Ferrari;ITA;DERECHA;REVES;330;433;MASCULINO
Luca Bruno;ITA;DERECHA;DRIVE;331;428;MASCULINO
Luca Romano;ITA;DERECHA;REVES;332;423;MASCULINO
Alessandro Martini;ITA;DERECHA;DRIVE;333;418;MASCULINO
Francesco Conti;ITA;DERECHA;REVES;334;413;MASCULINO
Giovanni Marino;ITA;DERECHA;DRIVE;335;408;MASCULINO
Andrea Romano;ITA;ZURDO;REVES;336;403;MASCULINO
Marco Vitale;ITA;DERECHA;DRIVE;337;398;MASCULINO
Giovanni Russo;ITA;DERECHA;REVES;338;393;MASCULINO
Matteo Martini;ITA;DERECHA;DRIVE;339;389;MASCULINO
Matteo Fontana;ITA;DERECHA;REVES;340;384;MASCULINO
Nuno Martins;POR;DERECHA;DRIVE;341;379;MASCULINO
Diogo Rodrigues;POR;DERECHA;REVES;342;375;MASCULINO
Nuno Cunha;POR;ZURDO;DRIVE;343;370;MASCULINO
Rui Fernandes;POR;DERECHA;REVES;344;366;MASCULINO
Nuno Sousa;POR;DERECHA;DRIVE;345;362;MASCULINO
Andre Sousa;POR;DERECHA;REVES;346;357;MASCULINO
Tiago Lopes;POR;DERECHA;DRIVE;347;353;MASCULINO
Rui Pereira;POR;DERECHA;REVES;348;349;MASCULINO
Pedro Pereira;POR;DERECHA;DRIVE;349;344;MASCULINO
Pedro Ferreira;POR;ZURDO;REVES;350;340;MASCULINO
Filipe Pereira;POR;DERECHA;DRIVE;351;336;MASCULINO
Nuno Silva;POR;DERECHA;REVES;352;332;MASCULINO
Nuno Gomes;POR;DERECHA;DRIVE;353;328;MASCULINO
Goncalo Carvalho;POR;DERECHA;REVES;354;324;MASCULINO
Rui Teixeira;POR;DERECHA;DRIVE;355;320;MASCULINO
Goncalo Silva;POR;DERECHA;REVES;356;317;MASCULINO
Miguel Carvalho;POR;ZURDO;DRIVE;357;313;MASCULINO
Tiago Gomes;POR;DERECHA;REVES;358;309;MASCULINO
Goncalo Costa;POR;DERECHA;DRIVE;359;305;MASCULINO
Pedro Pinto;POR;DERECHA;REVES;360;302;MASCULINO
Miguel Borges;POR;DERECHA;DRIVE;361;298;MASCULINO
Tiago Neves;POR;DERECHA;REVES;362;294;MASCULINO
Pedro Borges;POR;DERECHA;DRIVE;363;291;MASCULINO
Goncalo Rodrigues;POR;ZURDO;REVES;364;287;MASCULINO
Joao Teixeira;POR;DERECHA;DRIVE;365;284;MASCULINO
Ignacio Acosta;URU;DERECHA;REVES;366;281;MASCULINO
Matias Luna;URU;DERECHA;DRIVE;367;277;MASCULINO
Bruno Rios;URU;DERECHA;REVES;368;274;MASCULINO
Agustin Herrera;URU;DERECHA;DRIVE;369;271;MASCULINO
Sebastian Quiroga;URU;DERECHA;REVES;370;267;MASCULINO
Leandro Rios;URU;ZURDO;DRIVE;371;264;MASCULINO
Ezequiel Sosa;URU;DERECHA;REVES;372;261;MASCULINO
Sebastian Acosta;URU;DERECHA;DRIVE;373;258;MASCULINO
Gustavo Molina;URU;DERECHA;REVES;374;255;MASCULINO
Sebastian Leiva;URU;DERECHA;DRIVE;375;252;MASCULINO
Maximiliano Sosa;URU;DERECHA;REVES;376;249;MASCULINO
Agustin Juarez;URU;DERECHA;DRIVE;377;246;MASCULINO
Ezequiel Luna;URU;ZURDO;REVES;378;243;MASCULINO
Bruno Medina;URU;DERECHA;DRIVE;379;240;MASCULINO
Maximiliano Suarez;URU;DERECHA;REVES;380;237;MASCULINO
Ezequiel Molina;PAR;DERECHA;DRIVE;381;234;MASCULINO
Marcos Leiva;PAR;DERECHA;REVES;382;231;MASCULINO
Ignacio Herrera;PAR;DERECHA;DRIVE;383;228;MASCULINO
Facundo Vargas;PAR;DERECHA;REVES;384;226;MASCULINO
Franco Herrera;PAR;ZURDO;DRIVE;385;223;MASCULINO
Franco Quiroga;PAR;DERECHA;REVES;386;220;MASCULINO
Agustin Benitez;PAR;DERECHA;DRIVE;387;218;MASCULINO
Sebastian Paz;PAR;DERECHA;REVES;388;215;MASCULINO
Ignacio Medina;PAR;DERECHA;DRIVE;389;213;MASCULINO
Franco Suarez;PAR;DERECHA;REVES;390;210;MASCULINO
Rodrigo Nunez;CHI;DERECHA;DRIVE;391;207;MASCULINO
Maximiliano Ibarra;CHI;ZURDO;REVES;392;205;MASCULINO
Sebastian Medina;CHI;DERECHA;DRIVE;393;203;MASCULINO
